5.1,3.5,1.4,2 mm,Iris-setosa
4.9,3.0,1.4,2 mm,Iris-setosa
4.7,3.2,1.3,2 mm,Iris-setosa
4.6,3.1,1.5,2 mm,Iris-setosa
5.0,3.6,1.4,2 mm,Iris-setosa
5.4,3.9,1.7,4 mm,Iris-setosa
4.6,3.4,1.4,3 mm,Iris-setosa
5.0,3.4,1.5,2 mm,Iris-setosa
4.4,2.9,1.4,2 mm,Iris-setosa
4.9,3.1,1.5,1 mm,Iris-setosa
5.4,3.7,1.5,2 mm,Iris-setosa
4.8,3.4,1.6,2 mm,Iris-setosa
4.8,3.0,1.4,1 mm,Iris-setosa
4.3,3.0,1.1,1 mm,Iris-setosa
5.8,4.0,1.2,2 mm,Iris-setosa
5.7,4.4,1.5,4 mm,Iris-setosa
5.4,3.9,1.3,4 mm,Iris-setosa
5.1,3.5,1.4,3 mm,Iris-setosa
5.7,3.8,1.7,3 mm,Iris-setosa
5.1,3.8,1.5,3 mm,Iris-setosa
5.4,3.4,1.7,2 mm,Iris-setosa
5.1,3.7,1.5,4 mm,Iris-setosa
4.6,3.6,1.0,2 mm,Iris-setosa
5.1,3.3,1.7,5 mm,Iris-setosa
4.8,3.4,1.9,2 mm,Iris-setosa
5.0,3.0,1.6,2 mm,Iris-setosa
5.0,3.4,1.6,4 mm,Iris-setosa
5.2,3.5,1.5,2 mm,Iris-setosa
5.2,3.4,1.4,2 mm,Iris-setosa
4.7,3.2,1.6,2 mm,Iris-setosa
4.8,3.1,1.6,2 mm,Iris-setosa
5.4,3.4,1.5,4 mm,Iris-setosa
5.2,4.1,1.5,1 mm,Iris-setosa
5.5,4.2,1.4,2 mm,Iris-setosa
4.9,3.1,1.5,1 mm,Iris-setosa
5.0,3.2,1.2,2 mm,Iris-setosa
5.5,3.5,1.3,2 mm,Iris-setosa
4.9,3.1,1.5,1 mm,Iris-setosa
4.4,3.0,1.3,2 mm,Iris-setosa
5.1,3.4,1.5,2 mm,Iris-setosa
5.0,3.5,1.3,3 mm,Iris-setosa
4.5,2.3,1.3,3 mm,Iris-setosa
4.4,3.2,1.3,2 mm,Iris-setosa
5.0,3.5,1.6,6 mm,Iris-setosa
5.1,3.8,1.9,4 mm,Iris-setosa
4.8,3.0,1.4,3 mm,Iris-setosa
5.1,3.8,1.6,2 mm,Iris-setosa
4.6,3.2,1.4,2 mm,Iris-setosa
5.3,3.7,1.5,2 mm,Iris-setosa
5.0,3.3,1.4,2 mm,Iris-setsoa
7.0,3.2,4.7,14 mm,Iris-versicolor
6.4,3.2,4.5,15 mm,Iris-versicolor
6.9,3.1,4.9,15 mm,Iris-versicolor
5.5,2.3,4.0,13 mm,Iris-versicolor
6.5,2.8,4.6,15 mm,Iris-versicolor
5.7,2.8,4.5,13 mm,Iris-versicolor
6.3,3.3,4.7,16 mm,Iris-versicolor
4.9,2.4,3.3,10 mm,Iris-versicolor
6.6,2.9,4.6,13 mm,Iris-versicolor
5.2,2.7,3.9,14 mm,Iris-versicolor
5.0,2.0,3.5,10 mm,Iris-versicolor
5.9,3.0,4.2,15 mm,Iris-versicolor
6.0,2.2,4.0,10 mm,Iris-versicolor
6.1,2.9,4.7,14 mm,Iris-versicolor
5.6,2.9,3.6,13 mm,Iris-versicolor
6.7,3.1,4.4,14 mm,Iris-versicolor
5.6,3.0,4.5,15 mm,Iris-versicolor
5.8,2.7,4.1,10 mm,Iris-versicolor
6.2,2.2,4.5,15 mm,Iris-versicolor
5.6,2.5,3.9,11 mm,Iris-versicolor
5.9,3.2,4.8,18 mm,Iris-versicolor
6.1,2.8,4.0,13 mm,Iris-versicolor
6.3,2.5,4.9,15 mm,Iris-versicolor
6.1,2.8,4.7,12 mm,Iris-versicolor
6.4,2.9,4.3,13 mm,Iris-versicolor
6.6,3.0,4.4,14 mm,Iris-versicolor
6.8,2.8,4.8,14 mm,Iris-versicolor
6.7,3.0,5.0,17 mm,Iris-versicolor
6.0,2.9,4.5,15 mm,Iris-versicolor
5.7,2.6,3.5,10 mm,Iris-versicolor
5.5,2.4,3.8,11 mm,Iris-versicolor
5.5,2.4,3.7,10 mm,Iris-versicolor
5.8,,3.9,12 mm,Iris-versicolor
6.0,2.7,5.1,16 mm,Iris-versicolor
5.4,3.0,4.5,15 mm,Iris-versicolor
6.0,3.4,4.5,16 mm,Iris-versicolor
6.7,3.1,4.7,15 mm,Iris-versicolor
6.3,2.3,4.4,13 mm,Iris-versicolor
5.6,3.0,4.1,13 mm,Iris-versicolor
5.5,2.5,4.0,13 mm,Iris-versicolor
5.5,2.6,4.4,12 mm,Iris-versicolor
6.1,3.0,4.6,14 mm,Iris-versicolor
5.8,2.6,4.0,12 mm,Iris-versicolor
5.0,2.3,3.3,10 mm,Iris-versicolor
5.6,2.7,4.2,13 mm,Iris-versicolor
5.7,3.0,4.2,12 mm,Iris-versicolor
5.7,2.9,4.2,13 mm,Iris-versicolor
6.2,2.9,4.3,13 mm,Iris-versicolor
5.1,2.5,3.0,11 mm,Iris-versicolor
5.7,2.8,4.1,13 mm,Iris-versicolor
7.0,3.2,4.7,14 mm,Iris-versicolor
6.3,3.3,6.0,25 mm,Iris-virginica
5.8,2.7,5.1,19 mm,Iris-virginica
